NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
11135,"Cauliflower, raw",0.28,2,1.91,25,4.97,1.92,22,0.42,48.2,,,,
11141,"Celeriac, raw",0.3,1.8,1.6,42,9.2,1.5,43,0.7,8,,,,
11764,"Celery, cooked, boiled, drained, with salt",0.16,1.6,2.37,18,4,0.83,42,0.42,6.1,,,,
11144,"Celery, cooked, boiled, drained, without salt",0.16,1.6,2.37,18,4,0.83,42,0.42,6.1,,,,
11143,"Celery, raw",0.17,1.6,1.34,16,2.97,0.69,40,0.2,3.1,,,,
11765,"Chard, swiss, cooked, boiled, drained, with salt",0.08,2.1,1.1,20,4.13,1.88,58,2.26,18,,,,
11148,"Chard, swiss, cooked, boiled, drained, without salt",0.08,2.1,1.1,20,4.13,1.88,58,2.26,18,,,,
11147,"Chard, swiss, raw",0.2,1.6,1.1,19,3.74,1.8,51,1.8,30,,,,
11766,"Chayote, fruit, cooked, boiled, drained, with salt",0.48,2.8,1.89,22,4.5,0.62,13,0.22,8,,,,
11150,"Chayote, fruit, cooked, boiled, drained, without salt",0.48,2.8,1.89,24,5.09,0.62,13,0.22,8,,,,
11149,"Chayote, fruit, raw",0.13,1.7,1.66,19,4.51,0.82,17,0.34,7.7,,,,
9062,"Cherimoya, raw",0.68,3,12.87,75,17.71,1.57,10,0.27,12.6,,,,
9362,"Cherries, sour, canned, water pack, drained",0.21,1.2,6.99,42,10.45,0.69,11,0.64,0.3,,,,
9066,"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",0.1,1.1,22.17,91,23.27,0.73,10,1.3,2,,,,
9064,"Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)",0.1,1.1,7.6,36,8.94,0.77,11,1.37,2.1,,,,
9068,"Cherries, sour, red, frozen, unsweetened",0.44,1.6,9.02,46,11.02,0.92,13,0.53,1.7,,,,
9063,"Cherries, sour, red, raw",0.3,1.6,8.49,50,12.18,1,16,0.32,10,,,,
9072,"Cherries, sweet, canned, juice pack, solids and liquids",0.02,1.5,12.31,54,13.81,0.91,14,0.58,2.5,,,,
9073,"Cherries, sweet, canned, light syrup pack, solids and liquids",0.15,1.5,15.79,67,17.29,0.61,9,0.36,3.7,,,,
9074,"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",0.15,1.4,16.18,83,21.27,0.6,9,0.35,3.6,,,,
9367,"Cherries, sweet, canned, pitted, heavy syrup, drained",0.21,2.3,16.18,83,21.07,0.73,10,0.35,3.6,,,,
9071,"Cherries, sweet, canned, water pack, solids and liquids",0.13,1.5,10.26,46,11.76,0.77,11,0.36,2.2,,,,
9076,"Cherries, sweet, frozen, sweetened",0.13,2.1,20.26,89,22.36,1.15,12,0.35,1,,,,
9070,"Cherries, sweet, raw",0.2,2.1,12.82,63,16.01,1.06,13,0.36,7,,,,
9044,"Cherries, tart, dried, sweetened",0.73,2.5,67.15,333,80.45,1.25,38,0.68,19.3,,,,
16157,Chickpea flour (besan),6.69,10.8,10.85,387,57.82,22.39,45,4.86,0,,,,
16358,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained solids",2.77,6.4,4.01,139,22.53,7.05,45,1.07,0.1,,,,
16359,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water",2.47,6.3,4,138,22.87,7.04,43,0.98,0.1,,,,
16360,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",1.95,4.4,2.59,88,13.49,4.92,35,1.23,0.1,,,,
16357,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt",2.59,7.6,4.8,164,27.42,8.86,49,2.89,1.3,,,,
16057,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",2.59,7.6,4.8,164,27.42,8.86,49,2.89,1.3,,,,
16056,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",6.04,12.2,10.7,378,62.95,20.47,57,4.31,4,,,,
11152,"Chicory greens, raw",0.3,4,0.7,23,4.7,1.7,100,0.9,24,,,,
11154,"Chicory roots, raw",0.2,1.5,8.73,72,17.51,1.4,41,0.8,5,,,,
16059,"Chili with beans, canned",3.76,3.3,1.65,103,13.24,6.12,47,3.43,1.7,,,,
11156,"Chives, raw",0.73,2.5,1.85,30,4.35,3.27,92,1.6,58.1,,,,
11767,"Chrysanthemum, garland, cooked, boiled, drained, with salt",0.09,2.3,2.01,20,4.31,1.64,69,3.74,23.9,,,,
11158,"Chrysanthemum, garland, cooked, boiled, drained, without salt",0.09,2.3,2.01,20,4.31,1.64,69,3.74,23.9,,,,
9433,"Clementines, raw",0.15,1.7,9.18,47,12.02,0.85,30,0.14,48.8,,,,
11162,"Collards, cooked, boiled, drained, without salt",0.72,4,0.4,33,5.65,2.71,141,1.13,18.2,,,,
11769,"Collards, frozen, chopped, cooked, boiled, drained, with salt",0.41,2.8,0.57,36,7.1,2.97,210,1.12,26.4,,,,
11164,"Collards, frozen, chopped, cooked, boiled, drained, without salt",0.41,2.8,0.57,36,7.1,2.97,210,1.12,26.4,,,,
11161,"Collards, raw",0.61,4,0.46,32,5.42,3.02,232,0.47,35.3,,,,
11165,"Coriander (cilantro) leaves, raw",0.52,2.8,0.87,23,3.67,2.13,67,1.77,27,,,,
20015,"Corn bran, crude",0.92,79,0,224,85.64,8.36,42,2.79,0,,,,
20017,"Corn flour, masa, enriched, white",3.69,6.4,1.61,363,76.59,8.46,138,8.5,0,,,,
20019,"Corn flour, masa, unenriched, white",3.69,6.4,1.61,363,76.59,8.46,138,1.47,0,,,,
20316,"Corn flour, whole-grain, white",3.86,7.3,0.64,361,76.85,6.93,7,2.38,0,,,,
20016,"Corn flour, whole-grain, yellow",3.86,7.3,0.64,361,76.85,6.93,7,2.38,0,,,,
20018,"Corn flour, yellow, degermed, unenriched",1.39,1.9,0.64,375,82.75,5.59,2,0.91,0,,,,
20014,"Corn grain, yellow",4.74,7.3,0.64,365,74.26,9.42,7,2.71,0,,,,
11907,"Corn, sweet, white, canned, cream style, no salt added",0.42,1.2,2.21,72,18.13,1.74,3,0.38,4.6,,,,
11906,"Corn, sweet, white, canned, cream style, regular pack",0.42,1.2,6.09,74,18.62,1.74,4,0.31,4.6,,,,
11905,"Corn, sweet, white, canned, whole kernel, drained solids",1.37,2.3,2.42,71,15.06,2.32,3,0.28,2.1,,,,
11902,"Corn, sweet, white, cooked, boiled, drained, with salt",1.41,2.7,7.73,97,21.71,3.34,2,0.55,6.2,,,,
11901,"Corn, sweet, white, cooked, boiled, drained, without salt",1.41,2.7,7.73,97,21.71,3.34,2,0.55,6.2,,,,
11912,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, with salt",0.43,2.4,3.12,80,19.56,2.75,4,0.35,3.1,,,,
11911,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",0.43,2.4,3.12,80,19.56,2.75,4,0.35,3.1,,,,
11910,"Corn, sweet, white, frozen, kernels cut off cob, unprepared",0.77,2.9,9.09,88,20.73,3.02,4,0.41,6.3,,,,
11900,"Corn, sweet, white, raw",1.18,2.7,3.22,86,19.02,3.22,2,0.52,6.8,,,,
11170,"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",0.77,1.7,4.15,61,13.86,1.95,4,0.36,2.6,,,,
11772,"Corn, sweet, yellow, canned, cream style, no salt added",0.42,1.2,3.23,72,18.13,1.74,3,0.38,4.6,,,,
11174,"Corn, sweet, yellow, canned, cream style, regular pack",0.42,1.2,3.23,72,18.13,1.74,3,0.38,4.6,,,,
11177,"Corn, sweet, yellow, canned, drained solids, rinsed with tap water",1.43,1.7,4.11,74,13.02,2.18,2,0.22,1.7,,,,
11771,"Corn, sweet, yellow, canned, no salt added, solids and liquids",0.77,1.7,4.15,61,13.86,1.95,4,0.36,2.6,,,,
11773,"Corn, sweet, yellow, canned, vacuum pack, no salt added",0.5,2,5.59,79,19.44,2.41,5,0.42,8.1,,,,
11176,"Corn, sweet, yellow, canned, vacuum pack, regular pack",0.5,2,5.59,79,19.44,2.41,5,0.42,8.1,,,,
11172,"Corn, sweet, yellow, canned, whole kernel, drained solids",1.22,2,4.44,67,14.34,2.29,3,0.27,1.8,,,,
11770,"Corn, sweet, yellow, cooked, boiled, drained, with salt",1.5,2.4,4.54,96,20.98,3.41,3,0.45,5.5,,,,
11168,"Corn, sweet, yellow, cooked, boiled, drained, without salt",1.5,2.4,4.54,96,20.98,3.41,3,0.45,5.5,,,,
11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",0.67,2.4,3.07,81,19.3,2.55,3,0.47,3.5,,,,
11178,"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared",0.78,2.1,2.5,88,20.71,3.02,4,0.42,6.4,,,,
11775,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt",0.74,2.8,3.59,94,22.33,3.11,3,0.61,4.8,,,,
11181,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt",0.74,2.8,3.59,94,22.33,3.11,3,0.61,4.8,,,,
11180,"Corn, sweet, yellow, frozen, kernels on cob, unprepared",0.78,2.8,3.78,98,23.5,3.28,4,0.68,7.2,,,,
11774,"Corn, sweet, yellow, frozen, kernels, cut off cob, boiled, drained, with salt",0.67,2.4,3.07,79,18.71,2.55,3,0.47,3.5,,,,
11167,"Corn, sweet, yellow, raw",1.35,2,6.26,86,18.7,3.27,2,0.52,6.8,,,,
20322,"Cornmeal, degermed, enriched, white",1.75,3.9,1.61,370,79.45,7.11,3,4.36,0,,,,
20022,"Cornmeal, degermed, enriched, yellow",1.75,3.9,1.61,370,79.45,7.11,3,4.36,0,,,,
20522,"Cornmeal, degermed, unenriched, white",1.75,3.9,1.61,370,79.45,7.11,3,1.1,0,,,,
20422,"Cornmeal, degermed, unenriched, yellow",1.75,3.9,1.61,370,79.45,7.11,3,1.1,0,,,,
20320,"Cornmeal, whole-grain, white",3.59,7.3,0.64,362,76.89,8.12,6,3.45,0,,,,
20020,"Cornmeal, whole-grain, yellow",3.59,7.3,0.64,362,76.89,8.12,6,3.45,0,,,,
20027,Cornstarch,0.05,0.9,0,381,91.27,0.26,2,0.47,0,,,,
20029,"Couscous, cooked",0.16,1.4,0.1,112,23.22,3.79,8,0.38,0,,,,
11777,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",0.38,5,3.23,94,19.73,3.17,128,1.12,2.2,,,,
11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",0.38,5,3.23,97,20.32,3.17,128,1.12,2.2,,,,
11778,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",0.66,6.4,4.46,131,23.5,8.49,23,2.12,2.6,,,,
11196,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",0.66,6.4,4.46,132,23.76,8.49,23,2.12,2.6,,,,
11191,"Cowpeas (blackeyes), immature seeds, raw",0.35,5,3,90,18.83,2.95,126,1.1,2.5,,,,
16363,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",0.53,6.5,3.3,116,20.76,7.73,24,2.51,0.4,,,,
16063,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt",0.53,6.5,3.3,116,20.76,7.73,24,2.51,0.4,,,,
16062,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",1.26,10.6,6.9,336,60.03,23.52,110,8.27,1.5,,,,
11197,"Cowpeas, young pods with seeds, raw",0.3,3.3,5.04,44,9.5,3.3,65,1,33,,,,
9079,"Cranberries, dried, sweetened",1.09,5.3,72.56,308,82.8,0.17,9,0.39,0.2,,,,
9078,"Cranberries, raw",0.13,3.6,4.27,46,11.97,0.46,8,0.23,14,,,,
9522,"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",0.12,0.1,9.8,45,10.91,0.27,19,0.08,31.5,,,,
43382,"Cranberry juice, unsweetened",0.13,0.1,12.1,46,12.2,0.39,8,0.25,9.3,,,,
9081,"Cranberry sauce, canned, sweetened",0.15,1.1,31.75,159,40.4,0.9,3,0.41,1,,,,
9526,"Cranberry sauce, jellied, canned, OCEAN SPRAY",0.04,1,32.2,160,40.61,1.05,3,0.62,1,,,,
9525,"Cranberry sauce, whole, canned, OCEAN SPRAY",0.05,1.2,31.3,158,40.4,0.75,3,0.2,1,,,,
1205,"Cream substitute, flavored, liquid",13.5,1.1,33.04,251,35.07,0.69,6,0.59,0,,,,
1206,"Cream substitute, flavored, powdered",21.47,1.2,58.01,482,75.42,0.68,5,0.63,0,,,,
42141,"Cream substitute, liquid, light",3.5,0,9.1,71,9.1,0.8,1,0.56,0,,,,
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",9.97,0,11.38,136,11.38,1,9,0.03,0,,,,
1069,"Cream substitute, powdered",32.92,0,7.77,529,59.29,2.48,2,0.26,0,,,,
42136,"Cream substitute, powdered, light",15.7,0,73.4,431,73.4,1.9,1,0.03,0,,,,
11781,"Cress, garden, cooked, boiled, drained, with salt",0.6,0.7,3.11,23,3.8,1.9,61,0.8,23,,,,
11204,"Cress, garden, cooked, boiled, drained, without salt",0.6,0.7,3.11,23,3.8,1.9,61,0.8,23,,,,
11203,"Cress, garden, raw",0.7,1.1,4.4,32,5.5,2.6,81,1.3,69,,,,
11206,"Cucumber, peeled, raw",0.16,0.7,1.38,12,2.16,0.59,14,0.22,3.2,,,,
11205,"Cucumber, with peel, raw",0.11,0.5,1.67,15,3.63,0.65,16,0.28,2.8,,,,
9084,"Currants, red and white, raw",0.2,4.3,7.37,56,13.8,1.4,33,1,41,,,,
9085,"Currants, zante, dried",0.27,6.8,67.28,283,74.08,4.08,86,3.26,4.7,,,,
11782,"Dandelion greens, cooked, boiled, drained, with salt",0.6,2.9,1.62,33,6.4,2,140,1.8,18,,,,
11208,"Dandelion greens, cooked, boiled, drained, without salt",0.6,2.9,0.5,33,6.4,2,140,1.8,18,,,,
11207,"Dandelion greens, raw",0.7,3.5,0.71,45,9.2,2.7,187,3.1,35,,,,
9087,"Dates, deglet noor",0.39,8,63.35,282,75.03,2.45,39,1.02,0.4,,,,
9421,"Dates, medjool",0.15,6.7,66.47,277,74.97,1.81,64,0.9,0,,,,
11786,"Drumstick leaves, cooked, boiled, drained, with salt",0.93,2,1,60,11.15,5.27,151,2.32,31,,,,
11223,"Drumstick leaves, cooked, boiled, drained, without salt",0.93,2,1,60,11.15,5.27,151,2.32,31,,,,
1225,Dulce de Leche,7.35,0,49.74,315,55.35,6.84,251,0.17,2.6,,,,
11783,"Eggplant, cooked, boiled, drained, with salt",0.23,2.5,3.2,33,8.14,0.83,6,0.25,1.3,,,,
11210,"Eggplant, cooked, boiled, drained, without salt",0.23,2.5,3.2,35,8.73,0.83,6,0.25,1.3,,,,
43146,"Eggplant, pickled",0.7,2.5,4.8,49,9.77,0.9,25,0.77,0,,,,
11209,"Eggplant, raw",0.18,3,3.53,25,5.88,0.98,9,0.23,2.2,,,,
11213,"Endive, raw",0.2,3.1,0.25,17,3.35,1.25,52,0.83,6.5,,,,
11214,"Escarole, cooked, boiled, drained, no salt added",0.18,2.8,0.23,19,3.07,1.15,46,0.72,3.3,,,,
9334,"Feijoa, raw",0.42,6.4,8.2,61,15.21,0.71,17,0.14,32.9,,,,
11957,"Fennel, bulb, raw",0.2,3.1,3.93,31,7.3,1.24,49,0.73,12,,,,
9092,"Figs, canned, heavy syrup pack, solids and liquids",0.1,2.2,20.7,88,22.9,0.38,27,0.28,1,,,,
9091,"Figs, canned, light syrup pack, solids and liquids",0.1,1.8,16.15,69,17.95,0.39,27,0.29,1,,,,
9090,"Figs, canned, water pack, solids and liquids",0.1,2.2,11.79,53,13.99,0.4,28,0.29,1,,,,
9095,"Figs, dried, stewed",0.4,4.2,23.35,107,27.57,1.42,70,0.88,4.4,,,,
9094,"Figs, dried, uncooked",0.93,9.8,47.92,249,63.87,3.3,162,2.03,1.2,,,,
9089,"Figs, raw",0.3,2.9,16.26,74,19.18,0.75,35,0.37,2,,-0.262454831516364,,
9100,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",0.07,1,17.91,73,18.91,0.39,6,0.29,1.9,,,,
9097,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",0.01,1,10.86,46,11.86,0.46,8,0.21,2.7,,,,
9099,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",0.07,1,13.93,57,14.93,0.4,6,0.29,1.9,,,,
9096,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",0.05,1,7.51,32,8.51,0.42,5,0.25,2.1,,,,
9351,"Fruit cocktail, canned, heavy syrup, drained",0.1,1.7,17.14,70,18.8,0.47,7,0.29,1.9,,,,
9514,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",0.02,0,9.3,46,10.9,0.63,10,0.21,108.6,,,,
9515,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",0.33,0.6,11.46,56,13.04,0.63,18,0.34,6.2,,,,
9516,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",0.3,0.6,10.33,52,12.37,0.44,11,0.32,47.3,,,,
9511,"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",0,2.9,12.08,71,16.67,0.42,0,0.15,25,,,,
9508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",0.26,0.7,11.15,53,12.53,0.6,11,0.42,8.2,,,,
9531,"Fruit juice smoothie, NAKED JUICE, strawberry banana",0.27,0.6,10.05,50,11.66,0.48,10,0.2,8.4,,,,
9513,"Fruit juice smoothie, ODWALLA, ORIGINAL SUPERFOOD",0.36,0.6,10.16,50,11.51,0.63,7,0.39,31.3,,,,
9530,"Fruit juice smoothie, ODWALLA, strawberry banana",0.32,0.6,9.9,48,11.05,0.5,10,0.2,38.4,,,,
9105,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",0.07,1,18.11,73,19.11,0.34,6,0.28,2.4,,,,
16570,"GARDENBURGER Black Bean Chipotle Burger, frozen, unprepared",3.9,6.1,3.6,133,22,6.5,49,2.4,0,,,,
16581,"GARDENBURGER Flame Grilled Burger, frozen, unprepared",4.4,3.7,0.4,122,6.8,15.2,88,2.9,1,,,,
16579,"GARDENBURGER Original, frozen, unprepared",4.6,5,0.6,155,22.1,7.2,65,1.4,0,,,,
16584,"GARDENBURGER Savory Portabella Veggie Burger, frozen, unprepared",3.3,7.1,1.2,138,22.1,5.9,67,0.7,0,,,,
16585,"GARDENBURGER Sun-Dried Tomato Basil Burger, frozen, unprepared",3.6,5.2,2.6,137,23.7,5.5,50,1.2,12,,,,
16586,"GARDENBURGER Veggie Medley Burger, frozen, unprepared",3.6,7.1,2,121,24,4.1,36,1.2,0,,,,
11215,"Garlic, raw",0.5,2.1,1,149,33.06,6.36,181,1.7,31.2,,,,
31033,"Ginger root, pickled, canned, with artificial sweetener",0.1,2.6,0,20,4.83,0.33,74,0.28,0,,,,
11216,"Ginger root, raw",0.75,2,1.7,80,17.77,1.82,16,0.6,5,,,,
9110,"Goji berries, dried",0.39,13,45.61,349,77.06,14.26,190,6.8,48.4,,,,
11785,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, with salt",0.34,2.9,5.17,54,13.75,0.66,9,0.36,5.7,,,,
11221,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, without salt",0.34,2.9,5.17,56,14.34,0.66,9,0.36,5.7,,,,
11220,"Gourd, dishcloth (towelgourd), raw",0.2,1.1,2.02,20,4.35,1.2,20,0.36,12,,,,
9130,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",0.13,0.2,14.2,60,14.77,0.37,11,0.25,25,,,,
9512,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",0.13,0.2,14.2,62,14.77,0.37,42,0.25,25,,,,
9135,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",0.13,0.2,14.2,60,14.77,0.37,11,0.25,0.1,,,,
11974,"Grape leaves, raw",2.12,11,6.3,93,17.31,5.6,363,2.63,11.1,,,,
9127,"Grapefruit juice, pink or red, with added calcium",0.1,0,8.33,38,8.69,0.5,146,0.2,25,,,,
9416,"Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY",0.1,0.8,7.5,34,7.93,0.58,14,0.11,28.3,,,,
9123,"Grapefruit juice, white, canned or bottled, unsweetened",0.1,0.8,7.2,34,7.93,0.58,14,0.11,28.3,,,,
9124,"Grapefruit juice, white, canned, sweetened",0.09,0.1,11.03,46,11.13,0.58,8,0.36,26.9,,,,
9126,"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",0.13,0.1,9.63,41,9.73,0.55,8,0.14,33.7,,,,
9125,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",0.48,0.4,34.16,146,34.56,1.97,27,0.49,119.8,,,,
9111,"Grapefruit, raw, pink and red and white, all areas",0.1,1.1,6.98,32,8.08,0.63,12,0.09,34.4,,,,
9112,"Grapefruit, raw, pink and red, all areas",0.14,1.6,6.89,42,10.66,0.77,22,0.08,31.2,,,,
9116,"Grapefruit, raw, white, all areas",0.1,1.1,7.31,33,8.41,0.69,12,0.06,33.3,,,,
9120,"Grapefruit, sections, canned, juice pack, solids and liquids",0.09,0.4,8.8,37,9.21,0.7,15,0.21,33.9,,,,
9121,"Grapefruit, sections, canned, light syrup pack, solids and liquids",0.1,0.4,15.04,60,15.44,0.56,14,0.4,21.3,,,,
9119,"Grapefruit, sections, canned, water pack, solids and liquids",0.1,0.4,8.75,36,9.15,0.58,15,0.41,21.8,,,,
9131,"Grapes, american type (slip skin), raw",0.35,0.9,16.25,67,17.15,0.63,14,0.29,4,,,,
9134,"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",0.1,0.6,19.05,76,19.65,0.48,10,0.94,1,,,,
9133,"Grapes, canned, thompson seedless, water pack, solids and liquids",0.11,0.6,9.7,40,10.3,0.5,10,0.98,1,,,,
9132,"Grapes, red or green (European type, such as Thompson seedless), raw",0.16,0.9,15.48,69,18.1,0.72,10,0.36,3.2,,,,
9434,"Guanabana nectar, canned",0.17,0.1,13.07,59,14.93,0.11,7,0.36,11.1,,,,
9435,"Guava nectar, canned, with added ascorbic acid",0.06,1,12.95,63,16.25,0.09,8,0.38,21.1,,,,
9519,"Guava nectar, with sucralose, canned",0.07,1.2,10.15,48,13.3,0.3,8,0.54,21.3,,,,
9143,"Guava sauce, cooked",0.14,3.6,5.88,36,9.48,0.32,7,0.18,146.4,,,,
9139,"Guavas, common, raw",0.95,5.4,8.92,68,14.32,2.55,18,0.26,228.3,,,,
31007,HEALTHY REQUEST Tomato juice,0,0.8,3.7,21,4.53,0.82,8,0,29.6,,,,
20030,"Hominy, canned, white",0.88,2.5,1.82,72,14.26,1.48,10,0.62,0,,,,
16281,HOUSE FOODS Premium Firm Tofu,4.19,0.9,0.4,85,0.97,10.92,149,1.69,1.1,,,,
16279,HOUSE FOODS Premium Soft Tofu,2.71,0.8,0.53,59,2.19,6.38,78,1.53,0.9,,,,
16137,"Hummus, home prepared",8.59,4,0.27,177,20.12,4.86,49,1.56,7.9,,,,
11224,"Hyacinth-beans, immature seeds, raw",0.2,3.3,4.08,46,9.19,2.1,50,0.74,12.9,,,,
9144,"Jackfruit, raw",0.64,1.5,19.08,95,23.25,1.72,24,0.23,13.7,,,,
11226,"Jerusalem-artichokes, raw",0.01,1.6,9.6,73,17.44,2,14,3.4,4,,,,
9443,"Juice, apple and grape blend, with added ascorbic acid",0.12,0.2,10.92,50,12.46,0.16,11,0.11,28.2,,,,
9444,"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",0.12,0.2,9.95,52,12.96,0.17,72,0.14,50.7,,,,
11789,"Jute, potherb, cooked, boiled, drained, with salt",0.2,2,1,37,7.29,3.68,211,3.14,33,,,,
11232,"Jute, potherb, cooked, boiled, drained, without salt",0.2,2,1,37,7.29,3.68,211,3.14,33,,,,
11790,"Kale, cooked, boiled, drained, with salt",0.4,2,1.25,28,5.63,1.9,72,0.9,41,,,,
11234,"Kale, cooked, boiled, drained, without salt",0.4,2,1.25,28,5.63,1.9,72,0.9,41,,,,
11791,"Kale, frozen, cooked, boiled, drained, with salt",0.49,2,1.34,30,5.23,2.84,138,0.94,25.2,,,,
11236,"Kale, frozen, cooked, boiled, drained, without salt",0.49,2,1.34,30,5.23,2.84,138,0.94,25.2,,,,
11233,"Kale, raw",0.93,3.6,2.26,49,8.75,4.28,150,1.47,120,,,,
9148,"Kiwifruit, green, raw",0.52,3,8.99,61,14.66,1.14,34,0.31,92.7,,,,
9520,"Kiwifruit, ZESPRI SunGold, raw",0.28,1.4,12.3,63,15.79,1.02,17,0.21,161.3,,,,
9149,"Kumquats, raw",0.86,6.5,9.36,71,15.9,1.88,62,0.86,43.9,,,,
11795,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",0.2,1,2.11,31,7.62,0.81,30,1.1,4.2,,,,
11247,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",0.2,1,2.11,31,7.62,0.81,30,1.1,4.2,,,,
11246,"Leeks, (bulb and lower leaf-portion), raw",0.3,1.8,3.9,61,14.15,1.5,59,2.1,12,,,,
9524,"Lemon juice from concentrate, bottled, REAL LEMON",0.07,0.7,1.59,17,5.66,0.47,9,0.06,16.6,,,,
9153,"Lemon juice from concentrate, canned or bottled",0.07,0.7,1.53,17,5.62,0.45,10,0.06,14.3,,,,
9154,"Lemon juice, frozen, unsweetened, single strength",0.32,0.4,2.4,22,6.5,0.46,8,0.12,31.5,,,,
9152,"Lemon juice, raw",0.24,0.3,2.52,22,6.9,0.35,6,0.08,38.7,,,,
9156,"Lemon peel, raw",0.3,10.6,4.17,47,16,1.5,134,0.8,129,,,,
9150,"Lemons, raw, without peel",0.3,2.8,2.5,29,9.32,1.1,26,0.6,53,,,,
16370,"Lentils, mature seeds, cooked, boiled, with salt",0.38,7.9,1.8,114,19.54,9.02,19,3.33,1.5,,,,
16070,"Lentils, mature seeds, cooked, boiled, without salt",0.38,7.9,1.8,116,20.13,9.02,19,3.33,1.5,,,,
16069,"Lentils, raw",1.06,10.7,2.03,352,63.35,24.63,35,6.51,4.5,,,,
11250,"Lettuce, butterhead (includes boston and bibb types), raw",0.22,1.1,0.94,13,2.23,1.35,35,1.24,3.7,,,,
11251,"Lettuce, cos or romaine, raw",0.3,2.1,1.19,17,3.29,1.23,33,0.97,4,,,,
11253,"Lettuce, green leaf, raw",0.15,1.3,0.78,15,2.87,1.36,36,0.86,9.2,,,,
11252,"Lettuce, iceberg (includes crisphead types), raw",0.14,1.2,1.97,14,2.97,0.9,18,0.41,2.8,,,,
11257,"Lettuce, red leaf, raw",0.22,0.9,0.48,16,2.26,1.33,33,1.2,3.7,,,,
11715,"Lima beans, immature seeds, canned, no salt added, solids and liquids",0.29,3.6,0.93,71,13.33,4.07,28,1.61,8.7,,,,
11714,"Lima beans, immature seeds, cooked, boiled, drained, with salt",0.32,5.3,1.63,123,23.64,6.81,32,2.45,10.1,,,,
11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",0.32,5.4,1.63,123,23.64,6.81,32,2.45,10.1,,,,
11716,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, with salt",0.3,4.8,1.37,105,19.45,6.65,28,1.96,5.8,,,,
11040,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",0.3,4.8,1.37,105,19.45,6.65,28,1.96,5.8,,,,
