NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
11026,"Bamboo shoots, raw",0.3,2.2,3,27,5.2,2.6,13,0.5,4,,,,
9041,"Bananas, dehydrated, or banana powder",1.81,9.9,47.3,346,88.28,3.89,22,1.15,7,,,,
9040,"Bananas, raw",0.33,2.6,12.23,89,22.84,1.09,5,0.26,8.7,,,,
20130,Barley flour or meal,1.6,10.1,0.8,345,74.52,10.5,32,2.68,0,,,,
20131,Barley malt flour,1.84,7.1,0.8,361,78.3,10.28,37,4.71,0.6,,,,
20004,"Barley, hulled",2.3,17.3,0.8,354,73.48,12.48,33,3.6,0,,,,
20006,"Barley, pearled, cooked",0.44,3.8,0.28,123,28.22,2.26,11,1.33,0,,,,
20005,"Barley, pearled, raw",1.16,15.6,0.8,352,77.72,9.91,29,2.5,0,,,,
43449,"Beans, baked, canned, no salt added",0.4,5.5,7.78,105,20.49,4.8,50,0.29,3.1,,,,
16006,"Beans, baked, canned, plain or vegetarian",0.37,4.1,7.96,94,21.14,4.75,34,1.19,0,,,,
16008,"Beans, baked, canned, with franks",6.57,6.9,6.53,142,15.39,6.75,48,1.73,2.3,,,,
16018,"Beans, black turtle, mature seeds, canned",0.29,6.9,0.23,91,16.55,6.03,35,1.9,2.7,,,,
16317,"Beans, black turtle, mature seeds, cooked, boiled, with salt",0.35,8.3,0.32,130,24.35,8.18,55,2.85,0,,,,
16017,"Beans, black turtle, mature seeds, cooked, boiled, without salt",0.35,8.3,0.32,130,24.35,8.18,55,2.85,0,,,,
16016,"Beans, black turtle, mature seeds, raw",0.9,15.5,2.12,339,63.25,21.25,160,8.7,0,,,,
16316,"Beans, black, mature seeds, canned, low sodium",0.29,6.9,0.23,91,16.55,6.03,35,1.9,2.7,,,,
16315,"Beans, black, mature seeds, cooked, boiled, with salt",0.54,8.7,0.32,132,23.71,8.86,27,2.1,0,,,,
16015,"Beans, black, mature seeds, cooked, boiled, without salt",0.54,8.7,0.32,132,23.71,8.86,27,2.1,0,,,,
16014,"Beans, black, mature seeds, raw",1.42,15.5,2.12,341,62.36,21.6,123,5.02,0,,,,
43112,"Beans, chili, barbecue, ranch style, cooked",1,4.2,5.25,97,16.9,5,31,1.86,1.7,,,,
11973,"Beans, fava, in pod, raw",0.73,7.5,9.21,88,17.63,7.92,37,1.55,3.7,,,,
16026,"Beans, great northern, mature seeds, canned",0.39,4.9,1.41,114,21.02,7.37,53,1.57,1.3,,,,
16326,"Beans, great northern, mature seeds, canned, low sodium",0.39,4.9,1.41,114,21.02,7.37,53,1.57,1.3,,,,
16024,"Beans, great northern, mature seeds, raw",1.14,20.2,2.26,339,62.37,21.86,175,5.47,5.3,,,,
